duoarea,area-name,product,product-name,process,process-name,series,series-description,value,year,month
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.5416666666666665,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.665,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),3.715,2022,5
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.6745238095238095,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),3.516,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.547,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),3.394,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.871,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),3.781,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),3.311,2022,5
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",2.3726190476190476,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.717,2022,5
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.500952380952381,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),3.525,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),3.911,2022,5
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.418333333333333,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),3.594,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.724,2022,5
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.463333333333333,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.45,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),3.594,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),3.531,2022,5
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.458809523809524,2022,5
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.5028571428571427,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),3.296,2022,5
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.54,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),4.096,2022,5
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",2.412380952380952,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),3.64,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.813,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.416,2022,5
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),3.544,2022,5
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.616,2022,5
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.4054761904761905,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),4.63,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.887,2022,4
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.439523809523809,2022,4
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",2.3257142857142856,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),3.609,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.402,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),3.208,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),3.373,2022,4
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.367142857142857,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.305,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),3.446,2022,4
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.4564285714285714,2022,4
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",2.3959523809523806,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),3.365,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),3.472,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.63,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.311,2022,4
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.473333333333333,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),3.913,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.242,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),3.175,2022,4
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.4304761904761905,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),3.291,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.411,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),3.576,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.146,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),3.309,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),3.19,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),3.09,2022,4
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.417142857142857,2022,4
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.406190476190476,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),3.234,2022,4
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.388095238095238,2022,4
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",2.3647619047619046,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.207,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.981,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.223,2022,4
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.3171428571428567,2022,4
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.3607142857142858,2022,4
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",2.294047619047619,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.039,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),3.084,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.116,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),3.087,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),3.137,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),3.389,2022,4
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.3388095238095237,2022,4
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.416904761904762,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),3.146,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),3.184,2022,4
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.4645238095238096,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.377,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),3.057,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),3.685,2022,4
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.368333333333333,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.129,2022,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),3.236,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.218,2022,4
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",2.3154761904761902,2022,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.299,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),4.01,2022,3
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.5542857142857143,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),3.317,2022,3
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.6271428571428572,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.7,2022,3
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.690714285714286,2022,3
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",2.4771428571428573,2022,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),3.374,2022,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.4,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),3.471,2022,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),3.205,2022,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.926,2022,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),3.088,2022,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.122,2022,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.007,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),3.036,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),3.298,2022,3
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.2995238095238095,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.149,2022,3
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",2.2447619047619045,2022,3
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.353809523809524,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.959,2022,3
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.3911904761904763,2022,3
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.6180952380952376,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),3.247,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),3.533,2022,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),3.404,2022,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),3.271,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),3.377,2022,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),3.707,2022,3
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",2.527142857142857,2022,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),3.17,2022,3
